TierID;CollarID;UTC_Date;UTC_Time;LMT_Date;LMT_Time;Latitude;Longitude;Height;DOP;X;Y;twilight_start;sunrise;sunset;twilight_end;moonilumination;daytime;ActMean;Trajectory;distance;speed;timelag
RE10;13573;08.06.2014;11:01:17;08.06.2014;12:01:17;47.254567;8.5724796;661.77;2.8;685825;234359;08.06.2014 03:50;08.06.2014 04:30;08.06.2014 20:19;08.06.2014 20:59;0.804079651;T;66.37462963;RE10;65.3911309;0.006073856;10766
RE10;13573;08.06.2014;14:00:43;08.06.2014;15:00:43;47.254793;8.573283;687.56;2.6;685885;234385;08.06.2014 03:50;08.06.2014 04:30;08.06.2014 20:19;08.06.2014 20:59;0.804079651;T;73.30925926;RE10;121.0165278;0.011170069;10834
RE10;13573;08.06.2014;17:01:17;08.06.2014;18:01:17;47.2550086;8.5717112;640.89;2.8;685766;234407;08.06.2014 03:50;08.06.2014 04:30;08.06.2014 20:19;08.06.2014 20:59;0.804079651;T;66.25268519;RE10;68.59300256;0.006371262;10766
RE10;13573;08.06.2014;20:00:43;08.06.2014;21:00:43;47.2549361;8.5708099;617.02;2.4;685698;234398;08.06.2014 03:50;08.06.2014 04:30;08.06.2014 20:19;08.06.2014 20:59;0.804079651;N;66.20166667;RE10;82.87339742;0.007672752;10801
RE10;13573;08.06.2014;23:00:44;09.06.2014;00:00:44;47.2548163;8.5719011;655.21;2;685780;234386;08.06.2014 03:50;08.06.2014 04:30;08.06.2014 20:19;08.06.2014 20:59;0.804079651;N;125.4025926;RE10;37.58989226;0.003468662;10837
RE10;13573;09.06.2014;02:01:21;09.06.2014;03:01:21;47.2549792;8.5714629;662.98;3.6;685747;234404;09.06.2014 03:50;09.06.2014 04:29;09.06.2014 20:20;09.06.2014 21:00;0.881036415;N;36.58138889;RE10;31.144823;0.002893693;10763
RE10;13573;09.06.2014;05:00:44;09.06.2014;06:00:44;47.2550065;8.5718667;634.31;3.6;685778;234407;09.06.2014 03:50;09.06.2014 04:29;09.06.2014 20:20;09.06.2014 21:00;0.881036415;T;49.59407407;RE10;104.6900186;0.009694418;10799
RE10;13573;09.06.2014;08:00:43;09.06.2014;09:00:43;47.2540697;8.5720121;661.13;2.8;685790;234303;09.06.2014 03:50;09.06.2014 04:29;09.06.2014 20:20;09.06.2014 21:00;0.881036415;T;89.59064815;RE10;43.01162634;0.003982189;10801
RE10;13573;09.06.2014;11:00:44;09.06.2014;12:00:44;47.2541801;8.5725568;686.55;1.8;685831;234316;09.06.2014 03:50;09.06.2014 04:29;09.06.2014 20:20;09.06.2014 21:00;0.881036415;T;36.30740741;RE10;66.21178143;0.006116562;10825
RE10;13573;09.06.2014;14:01:09;09.06.2014;15:01:09;47.2544202;8.5733552;678.21;2.2;685891;234344;09.06.2014 03:50;09.06.2014 04:29;09.06.2014 20:20;09.06.2014 21:00;0.881036415;T;68.05805556;RE10;161.9413474;0.015015424;10785
RE10;13573;09.06.2014;17:00:54;09.06.2014;18:00:54;47.2557178;8.5723744;700.1;2.8;685815;234487;09.06.2014 03:50;09.06.2014 04:29;09.06.2014 20:20;09.06.2014 21:00;0.881036415;T;90.94444444;RE10;182.0439507;0.016776698;10851
RE10;13573;09.06.2014;20:01:45;09.06.2014;21:01:45;47.2540799;8.5724008;661.44;5.4;685819;234305;09.06.2014 03:50;09.06.2014 04:29;09.06.2014 20:20;09.06.2014 21:00;0.881036415;N;61.81666667;RE10;31.30495168;0.002915071;10739
RE10;13573;09.06.2014;23:00:44;10.06.2014;00:00:44;47.2538231;8.5725749;679.66;1.8;685833;234277;09.06.2014 03:50;09.06.2014 04:29;09.06.2014 20:20;09.06.2014 21:00;0.881036415;N;52.4;RE10;52.32590181;0.004818223;10860
RE10;13573;10.06.2014;02:01:44;10.06.2014;03:01:44;47.2541566;8.5730716;668.54;3.6;685870;234314;10.06.2014 03:49;10.06.2014 04:29;10.06.2014 20:21;10.06.2014 21:00;0.940808437;N;107.9066667;RE10;35.4682957;0.003302448;10740
RE10;13573;10.06.2014;05:00:44;10.06.2014;06:00:44;47.2544018;8.5727701;654.23;3.2;685847;234341;10.06.2014 03:49;10.06.2014 04:29;10.06.2014 20:21;10.06.2014 21:00;0.940808437;T;21.32111111;RE10;31.6227766;0.002928306;10799
RE10;13573;10.06.2014;08:00:43;10.06.2014;09:00:43;47.2541311;8.5726268;668.43;2.4;685837;234311;10.06.2014 03:49;10.06.2014 04:29;10.06.2014 20:21;10.06.2014 21:00;0.940808437;T;49.87212963;RE10;42.80186912;0.003962769;10801
RE10;13573;10.06.2014;11:00:44;10.06.2014;12:00:44;47.2538192;8.5729726;681.42;1.6;685863;234277;10.06.2014 03:49;10.06.2014 04:29;10.06.2014 20:21;10.06.2014 21:00;0.940808437;T;78.07259259;RE10;70.11419257;0.006463329;10848
RE10;13573;10.06.2014;14:01:32;10.06.2014;15:01:32;47.2544509;8.5729333;677.78;2.8;685859;234347;10.06.2014 03:49;10.06.2014 04:29;10.06.2014 20:21;10.06.2014 21:00;0.940808437;T;76.59851852;RE10;132.438665;0.012317584;10752
RE10;13573;10.06.2014;17:00:44;10.06.2014;18:00:44;47.2547759;8.5712431;682.51;2.6;685731;234381;10.06.2014 03:49;10.06.2014 04:29;10.06.2014 20:21;10.06.2014 21:00;0.940808437;T;54.09925926;RE10;64.40496875;0.005917399;10884
RE10;13573;10.06.2014;20:02:08;10.06.2014;21:02:08;47.2550176;8.572024;657.67;3;685789;234409;10.06.2014 03:49;10.06.2014 04:29;10.06.2014 20:21;10.06.2014 21:00;0.940808437;N;88.29185185;RE10;120.6150903;0.011255608;10716
RE10;13573;10.06.2014;23:00:44;11.06.2014;00:00:44;47.2542015;8.5709657;680.26;6;685711;234317;10.06.2014 03:49;10.06.2014 04:29;10.06.2014 20:21;10.06.2014 21:00;0.940808437;N;54.08074074;RE10;257.1089263;0.023808587;10799
RE10;13573;11.06.2014;02:00:43;11.06.2014;03:00:43;47.2554726;8.57381;685.81;1.6;685924;234461;11.06.2014 03:49;11.06.2014 04:29;11.06.2014 20:21;11.06.2014 21:01;0.980700001;N;110.7578704;RE10;230.0825939;0.021242969;10831
RE10;13573;11.06.2014;05:01:14;11.06.2014;06:01:14;47.2547178;8.5709749;636.74;1.8;685711;234374;11.06.2014 03:49;11.06.2014 04:29;11.06.2014 20:21;11.06.2014 21:01;0.980700001;T;52.93555556;RE10;115.2562363;0.010672862;10799
RE10;13573;11.06.2014;08:01:13;11.06.2014;09:01:13;47.2540567;8.5721566;651.57;4.2;685801;234302;11.06.2014 03:49;11.06.2014 04:29;11.06.2014 20:21;11.06.2014 21:01;0.980700001;T;64.07722222;RE10;31.06444913;0.00288435;10770
RE10;13573;11.06.2014;11:00:43;11.06.2014;12:00:43;47.2540689;8.572572;642.14;1.6;685832;234304;11.06.2014 03:49;11.06.2014 04:29;11.06.2014 20:21;11.06.2014 21:01;0.980700001;T;45.21055556;RE10;21.09502311;0.001953243;10800
RE10;13573;11.06.2014;14:00:43;11.06.2014;15:00:43;47.2540555;8.5722884;662.58;2.4;685811;234302;11.06.2014 03:49;11.06.2014 04:29;11.06.2014 20:21;11.06.2014 21:01;0.980700001;T;52.33185185;RE10;126.5306287;0.011712545;10803
RE10;13573;11.06.2014;17:00:46;11.06.2014;18:00:46;47.2544288;8.5738738;690.94;1.8;685930;234345;11.06.2014 03:49;11.06.2014 04:29;11.06.2014 20:21;11.06.2014 21:01;0.980700001;T;65.34537037;RE10;73.430239;0.006800985;10797
RE10;13573;11.06.2014;20:00:43;11.06.2014;21:00:43;47.2549963;8.574355;689.82;2.4;685966;234409;11.06.2014 03:49;11.06.2014 04:29;11.06.2014 20:21;11.06.2014 21:01;0.980700001;N;97.16518519;RE10;164.0121947;0.015187721;10799
RE10;13573;11.06.2014;23:00:42;12.06.2014;00:00:42;47.2541157;8.5726259;706.78;3;685836;234309;11.06.2014 03:49;11.06.2014 04:29;11.06.2014 20:21;11.06.2014 21:01;0.980700001;N;41.61055556;RE10;148.4082208;0.01374023;10801
RE10;13573;12.06.2014;02:00:43;12.06.2014;03:00:43;47.254035;8.5706655;734.14;7.2;685688;234298;12.06.2014 03:49;12.06.2014 04:29;12.06.2014 20:22;12.06.2014 21:02;0.998911997;N;65.08388889;RE10;160.6549097;0.014882345;10795
RE10;13573;12.06.2014;05:00:38;12.06.2014;06:00:38;47.2542177;8.5727621;667.71;2;685847;234321;12.06.2014 03:49;12.06.2014 04:29;12.06.2014 20:22;12.06.2014 21:02;0.998911997;T;62.76851852;RE10;32.57299495;0.003004889;10840
RE10;13573;12.06.2014;08:01:18;12.06.2014;09:01:18;47.2545032;8.5726395;664.24;3.2;685837;234352;12.06.2014 03:49;12.06.2014 04:29;12.06.2014 20:22;12.06.2014 21:02;0.998911997;T;63.37;RE10;115.277925;0.010655137;10819
RE10;13573;12.06.2014;11:01:37;12.06.2014;12:01:37;47.2555348;8.5725546;693.04;4.8;685829;234467;12.06.2014 03:49;12.06.2014 04:29;12.06.2014 20:22;12.06.2014 21:02;0.998911997;T;92.60083333;RE10;52.20153254;0.004846939;10770
RE10;13573;12.06.2014;14:01:07;12.06.2014;15:01:07;47.2551532;8.5729522;679.15;2.4;685860;234425;12.06.2014 03:49;12.06.2014 04:29;12.06.2014 20:22;12.06.2014 21:02;0.998911997;T;77.08398148;RE10;19.10497317;0.001767179;10811
RE10;13573;12.06.2014;17:01:18;12.06.2014;18:01:18;47.2550352;8.5727705;670.84;2.2;685846;234412;12.06.2014 03:49;12.06.2014 04:29;12.06.2014 20:22;12.06.2014 21:02;0.998911997;T;55.87777778;RE10;139.2300255;0.012933583;10765
RE10;13573;12.06.2014;20:00:43;12.06.2014;21:00:43;47.2549527;8.5746012;690.21;1.6;685985;234404;12.06.2014 03:49;12.06.2014 04:29;12.06.2014 20:22;12.06.2014 21:02;0.998911997;N;71.55240741;RE10;59.68249325;0.005525645;10801
RE10;13573;12.06.2014;23:00:44;13.06.2014;00:00:44;47.2554121;8.5741999;686.58;1.2;685954;234455;12.06.2014 03:49;12.06.2014 04:29;12.06.2014 20:22;12.06.2014 21:02;0.998911997;N;79.80962963;RE10;107.0046728;0.00990784;10800
RE10;13573;13.06.2014;02:00:44;13.06.2014;03:00:44;47.2548424;8.5730708;682.49;1.6;685869;234390;13.06.2014 03:49;13.06.2014 04:29;13.06.2014 20:22;13.06.2014 21:02;0.994623063;N;79.02407407;RE10;20.61552813;0.001909906;10794
