Datetime;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT
2016012223;0.000;0.000;0.000;0.000
2016012300;0.000;0.000;0.000;0.000
2016012301;0.000;0.000;0.000;0.000
2016012302;0.000;0.000;0.000;0.000
2016012303;0.000;0.000;0.000;0.000
2016012304;0.000;0.000;0.000;0.000
2016012305;0.842;0.000;0.000;0.000
2016012306;0.000;1.139;0.000;0.000
2016012307;0.000;0.000;0.000;0.000
2016012308;4.212;2.277;0.000;0.000
2016012309;0.000;2.277;1.065;0.000
2016012310;0.000;1.139;0.000;0.000
2016012311;0.842;0.000;1.065;0.000
2016012312;1.685;0.000;2.131;0.000
2016012313;7.582;2.277;1.065;0.000
2016012314;6.739;9.109;5.327;0.000
2016012315;3.370;5.693;0.000;3.082
2016012316;4.212;4.554;1.065;0.000
2016012317;0.842;0.000;0.000;0.000
2016012318;0.000;0.000;0.000;0.000
2016012319;0.000;0.000;0.000;0.000
2016012320;0.000;0.000;0.000;0.000
2016012321;0.000;0.000;0.000;0.000
2016012322;0.000;0.000;0.000;0.000
2016012323;0.000;0.000;0.000;0.000
2016012400;0.000;0.000;0.000;0.000
2016012401;0.000;0.000;0.000;0.000
2016012402;0.000;0.000;0.000;0.000
2016012403;0.000;0.000;0.000;0.000
2016012404;0.000;0.000;0.000;0.000
2016012405;0.000;0.000;0.000;0.000
2016012406;0.000;0.000;0.000;0.000
2016012407;0.842;0.000;0.000;0.000
2016012408;3.370;2.277;0.000;0.000
2016012409;7.582;2.277;0.000;0.000
2016012410;5.054;7.970;1.065;0.000
2016012411;8.424;7.970;3.196;3.082
2016012412;8.424;3.416;5.327;2.055
2016012413;7.582;7.970;0.000;0.000
2016012414;10.109;12.525;3.196;1.027
2016012415;7.582;13.663;2.131;4.109
2016012416;8.424;12.525;1.065;1.027
2016012417;1.685;5.693;0.000;0.000
2016012418;0.000;0.000;0.000;0.000
2016012419;0.000;0.000;0.000;0.000
2016012420;0.000;0.000;0.000;0.000
2016012421;0.000;0.000;0.000;0.000
2016012422;0.000;0.000;0.000;0.000
2016012423;0.000;0.000;0.000;0.000
2016012500;0.000;0.000;0.000;0.000
2016012501;0.000;0.000;0.000;0.000
2016012502;0.000;0.000;0.000;0.000
2016012503;0.000;0.000;0.000;0.000
2016012504;0.000;0.000;0.000;0.000
2016012505;0.000;0.000;0.000;0.000
2016012506;0.000;0.000;0.000;0.000
2016012507;0.000;0.000;1.065;0.000
2016012508;1.685;2.277;2.131;0.000
2016012509;1.685;2.277;0.000;0.000
2016012510;0.842;1.139;0.000;0.000
2016012511;1.685;3.416;1.065;0.000
2016012512;0.842;2.277;3.196;0.000
2016012513;1.685;2.277;1.065;0.000
2016012514;3.370;5.693;1.065;1.027
2016012515;2.527;4.554;0.000;0.000
2016012516;10.109;6.832;3.196;1.027
2016012517;0.842;1.139;0.000;1.027
2016012518;0.842;0.000;0.000;1.027
2016012519;0.000;0.000;0.000;1.027
2016012520;0.000;0.000;0.000;0.000
2016012521;0.000;0.000;0.000;0.000
