ccrs;meat;gender;member;age_group;age_group_2
1000623424;0;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;1;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;0;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;1;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000612250;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;1;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;1;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;0;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;0;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;1;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;1;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000612250;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000612250;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000623424;1;F;Mitarbeitende;AK2;26 - 34-jaehrig
1000621806;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000612250;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
